Serial number,Phone number,Location,Occupation,Qualified,Age,Type,Clients Attended,Minimum wage,Aadhar Card,Gender,Doorstep Service,Morning Available,Afternoon Available,Evening Available,References
475,9066001332,Dhankawadi,Tailor,Yes,23,Part time,12,4000,0577-2890-5836,Female,No,No,Yes,No,
476,9700197525,Wagholi,Maid,Yes,32,Part time,15,4000,9410-0621-1698,Female,Yes,Yes,No,Yes,
477,9590508680,Fatimanagar,Receptionist,No,33,Full time,8,5500,0803-5942-1316,Female,,Yes,Yes,No,
478,9168861292,Dhole Patil Road,Salesperson,No,24,Part time,9,4000,9297-4719-3055,Male,,No,Yes,Yes,
479,9927365778,Wanowrie,Painter,Yes,35,Full time,6,6000,9829-8663-1237,Male,,Yes,Yes,Yes,
480,7700097937,Salisbury Park,Tailor,No,18,Part time,2,6500,5345-0814-3388,Female,No,Yes,Yes,No,
481,9010891117,Ghorpadi,Mehndi Artist,Yes,28,Full time,14,1000,0695-4983-1009,Female,Yes,Yes,Yes,Yes,
482,8298254536,Dhayari,Cashier,Yes,25,Full time,6,2000,5184-8353-2400,Female,,No,Yes,Yes,
483,7295819667,Dattawadi,Mechanic,Yes,28,Part time,2,7000,0969-0481-8200,Male,,Yes,No,No,
484,9986026293,Chinchwad,Electrician,No,33,Full time,2,7000,8013-3145-4538,Male,,Yes,Yes,Yes,
485,8935792588,Sahakarnagar,Accountant,No,23,Full time,10,3500,8848-8868-0731,Female,,Yes,Yes,No,
486,7894115106,Khadakwasla,Driver,Yes,27,Part time,9,3500,5073-3753-3169,Male,,No,Yes,Yes,
487,9818746881,Deccan,Brick mason,Yes,26,Full time,3,2000,1623-5164-6768,Male,,Yes,Yes,Yes,
488,7360496443,Bibewadi,Driver,Yes,29,Part time,10,2000,5737-8760-7495,Male,,Yes,Yes,No,
489,9501105462,Wanowrie,Salesperson,Yes,20,Part time,4,4000,6110-2509-5563,Female,,Yes,Yes,No,
490,8850728869,Camp,Waiter,Yes,39,Part time,10,5500,8147-2339-1190,Male,,No,Yes,Yes,
491,7144495615,Wagholi,Cashier,No,33,Full time,10,5500,8414-6960-3277,Female,,Yes,Yes,No,
492,8764398417,Dattawadi,Cashier,No,29,Part time,14,2500,5649-2718-4265,Female,,Yes,Yes,No,
493,9190704654,Wanowrie,Waitress,Yes,20,Full time,9,1000,9374-0049-8091,Female,,Yes,Yes,Yes,
494,7022980226,Katraj,Brick mason,Yes,29,Full time,7,1000,5901-9279-5127,Male,,Yes,Yes,Yes,
495,8430859340,Paud Road,Maid,No,35,Part time,6,7000,5348-8679-7241,Female,Yes,Yes,No,Yes,
496,7197119664,Ambegaon,Accountant,No,29,Full time,10,2000,6702-7414-1419,Female,,Yes,Yes,No,
497,7019940785,Kondhwa,Painter,Yes,26,Part time,2,7000,5540-1589-4822,Male,,No,Yes,Yes,
498,7332235943,Kharadi,Plumber,Yes,23,Part time,9,5500,9731-7231-8645,Male,,Yes,Yes,No,
499,7313439391,Khadakwasla,Cashier,No,24,Full time,6,3000,1578-9640-3374,Male,,Yes,Yes,Yes,
500,8550616450,Chinchwad,Waitress,Yes,18,Part time,4,5000,3073-7503-1538,Female,,No,Yes,Yes,
501,7402221762,Hinjewadi,Cashier,Yes,39,Full time,4,4000,9143-4208-0367,Male,,Yes,Yes,Yes,
502,7568549883,Katraj,Tailor,No,20,Full time,3,2000,3547-5060-9008,Female,No,Yes,Yes,No,
503,9567148596,Fatimanagar,Mechanic,No,23,Full time,9,2000,1739-7723-0817,Male,,Yes,Yes,Yes,
504,8602337254,Wanowrie,Mechanic,Yes,28,Part time,2,4000,1607-7774-9779,Male,,Yes,Yes,No,
505,9159643581,Erandwane,Waiter,No,21,Part time,4,3000,1166-1762-7842,Male,,No,Yes,Yes,
506,8978859276,Koregaon Park,Cook,No,29,Part time,8,5000,8052-6163-5753,Female,Yes,Yes,No,Yes,
507,9224581620,Pashan,Security Guard,No,23,Part time,3,2500,3830-3709-0820,Male,,Yes,Yes,No,
508,7628909530,Dhankawadi,Salesperson,Yes,24,Part time,9,4500,4882-6651-7532,Female,,Yes,Yes,No,
509,7563537713,Gultekdi,Janitor,Yes,29,Part time,12,6000,0379-6274-7744,Male,,No,Yes,Yes,
510,7734303545,Salisbury Park,Painter,Yes,27,Full time,14,6500,3158-5340-7448,Male,,Yes,Yes,Yes,
511,7802478673,Kothrud,Plumber,No,36,Full time,10,3000,0792-9900-1070,Male,,Yes,Yes,Yes,
512,7537495700,Hinjewadi,Janitor,Yes,35,Full time,2,2500,8425-1058-3505,Male,,Yes,Yes,Yes,
513,9972195278,Kothrud,Cook,No,22,Full time,6,3500,7848-4641-8917,Male,Yes,Yes,Yes,Yes,
514,7829039791,Nigdi,Accountant,Yes,26,Part time,5,3500,0558-8754-6127,Male,,Yes,Yes,No,
515,9843618252,Aundh,Cook,No,23,Full time,7,3000,9214-0731-7387,Female,Yes,Yes,No,No,
516,7180147837,Dattawadi,Receptionist,No,18,Full time,4,5000,5281-7021-0691,Female,,Yes,Yes,No,
517,8164315725,Balewadi,Mechanic,Yes,24,Part time,6,1500,7506-9035-9394,Male,,No,Yes,Yes,
518,7816999431,Camp,Maid,No,34,Part time,11,4500,2245-9964-7059,Female,Yes,Yes,No,Yes,
519,9296554100,Dhayari,Accountant,Yes,34,Full time,13,1000,6714-9184-6250,Female,,No,Yes,No,
520,7108291678,Dhankawadi,Security Guard,Yes,38,Full time,6,3000,7460-4178-0549,Male,,Yes,Yes,Yes,
521,9694461830,Hinjewadi,Driver,Yes,33,Full time,11,2500,3017-2310-2864,Male,,Yes,Yes,Yes,
522,7940040841,Aundh,Cook,No,33,Full time,5,3500,9348-4894-7757,Male,Yes,Yes,Yes,Yes,
523,7483404573,Chinchwad,Plumber,No,31,Part time,6,1000,6147-2248-9234,Male,,Yes,Yes,No,
524,8624215140,Sahakarnagar,Salesperson,No,30,Full time,9,2500,3142-6981-5105,Female,,Yes,Yes,No,
525,9251316899,Dhankawadi,Security Guard,Yes,37,Full time,9,4000,4276-9696-7395,Male,,Yes,Yes,Yes,
526,8152327599,Pimplesaudagar,Tailor,No,23,Part time,11,1000,6336-8030-2267,Male,Yes,Yes,Yes,No,
527,7012833776,Deccan,Mehndi Artist,Yes,25,Part time,15,2500,2791-7928-1510,Female,Yes,Yes,Yes,Yes,
528,8562261609,Kondhwa,Carpenter,Yes,19,Full time,5,2000,4957-7278-6867,Male,,Yes,Yes,Yes,
529,7994673364,Paud Road,Mechanic,Yes,34,Part time,8,4000,9580-8680-0963,Male,,No,Yes,Yes,
530,9742721193,Kharadi,Security Guard,Yes,29,Full time,1,1500,5139-9313-9348,Male,,Yes,Yes,Yes,
531,9965643025,Wanowrie,Worker,Yes,35,Full time,5,6000,5528-5575-2497,Male,,Yes,Yes,Yes,
532,8793831592,Singhgad Road,Brick mason,No,38,Full time,12,5000,8939-0879-3915,Male,,Yes,Yes,Yes,
533,9704116703,Hinjewadi,Cashier,Yes,25,Full time,6,4000,9552-8968-6466,Female,,No,Yes,Yes,
534,9462453620,Salisbury Park,Receptionist,No,21,Full time,12,5500,8997-1743-9965,Male,,Yes,Yes,Yes,
535,8781900974,Sahakarnagar,Driver,No,30,Full time,6,3500,4212-8933-3918,Male,,Yes,Yes,Yes,
536,8791879086,Chinchwad,Delivery Boy,Yes,30,Part time,7,3000,9069-2046-7688,Male,,Yes,Yes,No,
537,7436287199,Khadki,Accountant,Yes,35,Part time,10,4500,0574-8733-3798,Female,,Yes,Yes,No,
538,7823315035,Singhgad Road,Tailor,Yes,21,Part time,10,2000,9898-3747-5316,Female,No,Yes,Yes,No,
539,8333339382,Hinjewadi,Brick mason,No,22,Full time,5,1500,2727-0569-6306,Male,,Yes,Yes,Yes,
540,7252700242,Chinchwad,Worker,No,29,Part time,2,1000,4113-8339-0791,Male,,Yes,Yes,No,
541,7369669826,Ambegaon,Maid,No,26,Full time,3,3500,8203-9069-3525,Female,Yes,Yes,No,Yes,
542,9172655919,Pimplesaudagar,Salesperson,No,24,Part time,8,3500,0948-2894-3538,Female,,Yes,Yes,No,
543,9970328237,Bibewadi,Brick mason,Yes,36,Full time,11,5500,7320-8343-4234,Male,,Yes,Yes,Yes,
544,9261292598,Sahakarnagar,Receptionist,No,21,Part time,13,4000,7837-9773-0037,Female,,Yes,Yes,No,
545,8058516039,Pashan,Driver,Yes,24,Full time,10,1500,0037-8063-1219,Male,,Yes,Yes,Yes,
546,7680059642,Baner,Plumber,Yes,25,Part time,13,3000,9385-3445-3145,Male,,Yes,Yes,No,
547,8452336900,Kondhwa,Receptionist,Yes,29,Part time,2,1000,6256-9556-1033,Female,,Yes,Yes,No,
548,9807121202,Wanowrie,Janitor,Yes,24,Full time,9,6000,5183-0739-3372,Male,,Yes,Yes,Yes,
549,9426900401,Swargate,Receptionist,Yes,22,Full time,5,1000,2284-9076-3366,Female,,Yes,Yes,No,
550,7126804521,Khadakwasla,Carpenter,Yes,34,Part time,14,1500,8397-9852-4439,Male,,Yes,Yes,No,
551,7416937299,Pimplesaudagar,Salesperson,Yes,28,Part time,2,5500,3450-9451-7952,Male,,Yes,Yes,No,
552,8159687495,Dhole Patil Road,Cashier,Yes,30,Full time,15,3000,1873-7805-8089,Female,,No,Yes,Yes,
553,7293600390,Salisbury Park,Security Guard,Yes,33,Full time,5,5500,4930-9189-2112,Male,,Yes,Yes,Yes,
554,9927842311,Chinchwad,Plumber,No,26,Full time,4,4000,6404-2590-6936,Male,,Yes,Yes,Yes,
555,8943426773,Wanowrie,Delivery Boy,Yes,19,Full time,12,4500,5068-2971-5830,Male,,Yes,Yes,Yes,
556,9173775699,Salisbury Park,Waitress,No,26,Part time,3,6500,4078-1560-7346,Female,,Yes,Yes,No,
557,8545036032,Koregaon Park,Salesperson,Yes,19,Part time,9,3000,9324-6113-3407,Male,,Yes,Yes,No,
558,7324608693,Hinjewadi,Receptionist,No,36,Full time,3,5000,2817-3029-3690,Male,,Yes,Yes,Yes,
559,8056441541,Kharadi,Waiter,No,29,Part time,5,6000,1534-1758-5656,Male,,Yes,Yes,No,
560,8180901043,Wagholi,Cashier,No,30,Full time,2,6000,0393-8375-3842,Male,,Yes,Yes,Yes,
561,8532740989,Koregaon Park,Cook,No,31,Full time,14,7000,1978-4455-5380,Female,Yes,Yes,No,Yes,
562,7622319889,Aundh,Waiter,Yes,31,Part time,7,5500,1749-5001-6013,Male,,No,Yes,Yes,
563,8589864315,Katraj,Accountant,Yes,32,Full time,4,4500,3493-5227-6286,Female,,Yes,Yes,Yes,
564,8105747526,Salisbury Park,Salesperson,Yes,33,Full time,11,5000,8585-2499-3275,Female,,Yes,Yes,Yes,
565,9138590670,Dhankawadi,Security Guard,No,37,Part time,4,4000,4820-6003-1473,Male,,Yes,Yes,No,
566,8431072319,Dhankawadi,Salesperson,No,19,Part time,7,4500,2845-5844-6627,Male,,Yes,Yes,No,
567,8677048706,Shivajinagar,Tailor,Yes,27,Full time,14,6000,4798-4142-8404,Male,No,Yes,Yes,Yes,
568,9790044101,Saswad,Mehndi Artist,No,25,Part time,14,5000,8758-4594-6200,Female,Yes,Yes,Yes,Yes,
569,7607130224,Erandwane,Security Guard,No,20,Full time,4,1000,3660-6549-7505,Male,,Yes,Yes,Yes,
570,9318681236,Dattawadi,Plumber,Yes,30,Full time,5,6000,8092-9441-0106,Male,,Yes,Yes,Yes,
571,8743495402,Kharadi,Mehndi Artist,No,27,Full time,9,3000,3623-9838-8327,Female,Yes,Yes,Yes,Yes,
572,9107918020,Singhgad Road,Receptionist,No,26,Full time,15,6500,0960-6877-8634,Female,,Yes,Yes,No,
573,8240508025,Pimplesaudagar,Brick mason,No,39,Full time,2,4500,4385-3772-7859,Male,,Yes,Yes,Yes,
574,7943766349,Hadapsar,Mechanic,Yes,23,Part time,10,2000,3830-5002-3855,Male,,Yes,Yes,No,
575,8651029822,Aundh,Mehndi Artist,Yes,34,Full time,3,3500,1590-5774-2811,Female,Yes,Yes,Yes,No,
576,9914251349,Balewadi,Receptionist,No,22,Part time,9,3000,7719-2005-5916,Female,,Yes,Yes,No,
577,9032957675,Salisbury Park,Mehndi Artist,Yes,23,Full time,1,6000,0106-0766-5708,Female,No,Yes,Yes,No,
578,9256810224,Wanowrie,Mechanic,Yes,25,Full time,13,6500,4519-9839-6051,Male,,Yes,Yes,Yes,
579,7081138927,Mundhwa,Salesperson,No,40,Full time,13,6000,0699-8314-9914,Male,,Yes,Yes,Yes,
580,7652380904,Fursungi,Carpenter,Yes,32,Part time,14,5000,3053-5440-7043,Male,,Yes,No,No,
581,7385381180,Hadapsar,Electrician,Yes,20,Part time,3,1500,5726-9617-5324,Male,,Yes,Yes,No,
582,8865006080,Khadki,Cook,Yes,25,Full time,11,2500,6651-7386-1981,Male,Yes,Yes,Yes,Yes,
583,7378880145,Wagholi,Salesperson,No,36,Full time,4,3500,5851-4207-7153,Male,,Yes,Yes,Yes,
584,9766346429,Hinjewadi,Waiter,Yes,24,Full time,2,2500,9208-1991-4846,Male,,Yes,Yes,Yes,
585,9937003925,Dattawadi,Waitress,Yes,22,Full time,12,6000,4822-2480-0932,Female,,Yes,Yes,No,
586,8834239155,Pashan,Tailor,Yes,26,Part time,13,5000,2245-6386-9360,Male,Yes,Yes,Yes,No,
587,7047349670,Paud Road,Waiter,No,20,Part time,5,6500,9748-1210-6159,Male,,Yes,Yes,No,
588,7140752870,Vishrantwadi,Electrician,Yes,25,Part time,14,7000,0943-6228-7871,Male,,Yes,Yes,No,
589,8977480299,Parvati,Painter,No,31,Full time,13,5500,1935-6645-8020,Male,,Yes,Yes,Yes,
590,8520674409,Aundh,Carpenter,No,39,Full time,12,1000,4815-6806-8252,Male,,Yes,Yes,Yes,
591,7523127266,Fatimanagar,Waitress,No,21,Full time,8,4000,5848-4422-0634,Female,,Yes,Yes,No,
592,8034645937,Bavdhan,Maid,Yes,28,Full time,6,6000,4708-0825-0433,Female,Yes,Yes,No,Yes,
593,9830676922,Baner,Cook,Yes,21,Full time,8,5500,2890-7356-4036,Female,Yes,Yes,No,Yes,
594,7960436269,Vishrantwadi,Security Guard,No,33,Full time,14,1000,4456-7907-6619,Male,,Yes,Yes,Yes,
595,8720045726,Dhayari,Mehndi Artist,Yes,28,Full time,13,4500,9098-3154-4004,Female,Yes,Yes,Yes,Yes,
596,8535377515,Ghorpadi,Maid,No,27,Part time,4,3000,5328-1705-6666,Female,Yes,Yes,No,Yes,
597,9504081614,Hadapsar,Maid,No,21,Full time,8,1000,1226-0563-6312,Female,Yes,Yes,No,Yes,
598,9610051944,Vishrantwadi,Mehndi Artist,No,18,Full time,11,3000,1270-3096-5428,Female,Yes,Yes,No,Yes,
599,9518216181,Koregaon Park,Brick mason,No,23,Full time,11,5000,8424-3920-7548,Male,,Yes,Yes,Yes,
600,9246862752,Saswad,Driver,No,34,Part time,12,2000,5780-8509-4291,Male,,Yes,Yes,No,
601,8514254540,Dhole Patil Road,Mehndi Artist,No,29,Part time,3,5000,1930-1827-3784,Female,No,Yes,No,No,
602,8241678203,Sahakarnagar,Mechanic,No,29,Full time,11,6000,5852-5217-0351,Male,,Yes,Yes,Yes,
603,8869423255,Paud Road,Delivery Boy,No,35,Full time,12,6500,8133-2233-2610,Male,,Yes,Yes,Yes,
604,7181384311,Mundhwa,Maid,Yes,32,Part time,11,5000,6759-2356-3056,Female,Yes,Yes,No,Yes,
605,7124853781,Camp,Receptionist,Yes,19,Full time,10,4500,6809-1257-7484,Male,,Yes,Yes,Yes,
606,8929620368,Vitthalwadi,Worker,No,26,Part time,8,6000,4408-3166-8204,Male,,Yes,Yes,No,
607,7067634850,Fatimanagar,Mehndi Artist,Yes,19,Part time,2,7000,9108-0227-1541,Female,No,Yes,Yes,No,
608,8850328191,Kondhwa,Salesperson,Yes,24,Full time,11,2000,3365-5180-3727,Male,,Yes,Yes,Yes,
609,8433314115,Camp,Janitor,No,26,Full time,12,7000,9740-0836-9369,Male,,Yes,Yes,Yes,
610,9064211935,Katraj,Cashier,No,19,Full time,4,6000,1341-0920-2284,Male,,Yes,Yes,Yes,
611,8058337632,Dattawadi,Plumber,Yes,19,Part time,13,4000,3307-4704-8704,Male,,Yes,Yes,No,
612,7507934231,Baner,Accountant,No,21,Part time,11,2000,1595-0817-6748,Male,,Yes,No,No,
613,9545487753,Dhayari,Maid,No,18,Part time,5,4500,4743-2173-4980,Female,Yes,Yes,No,Yes,
614,9856625766,Khadki,Worker,Yes,25,Full time,9,5000,5500-3822-2423,Male,,Yes,Yes,Yes,
615,9830091399,Kondhwa,Accountant,No,31,Part time,9,6000,4507-1354-3482,Female,,Yes,Yes,No,
616,8819456256,Dattawadi,Cook,Yes,19,Full time,7,3500,4634-0746-6850,Female,Yes,Yes,Yes,Yes,
617,8305013282,Dhole Patil Road,Waitress,No,33,Part time,15,1500,7053-9723-1796,Female,,Yes,Yes,No,
618,8560528227,Hadapsar,Carpenter,Yes,20,Part time,5,4500,1892-4034-4590,Male,,Yes,No,No,
619,9135609388,Hadapsar,Cashier,Yes,30,Full time,13,1500,4561-7915-5218,Female,,No,Yes,Yes,
620,8547737394,Kharadi,Security Guard,No,40,Full time,9,1500,7954-4128-0956,Male,,Yes,Yes,Yes,
621,9369991764,Khadki,Salesperson,Yes,39,Part time,5,5500,5684-2067-8662,Male,,No,Yes,Yes,
622,7672421211,Pimplesaudagar,Cook,No,21,Part time,8,2000,7405-5847-5000,Female,Yes,No,No,Yes,
623,7213767313,Vishrantwadi,Painter,Yes,34,Full time,14,7000,6961-2031-0680,Male,,Yes,Yes,Yes,
624,7009800794,Fursungi,Cook,Yes,20,Part time,14,7000,0085-6886-5846,Female,Yes,Yes,No,Yes,
625,8271141561,Salisbury Park,Delivery Boy,Yes,29,Part time,12,3000,5224-4776-4265,Male,,Yes,No,No,
626,9086633107,Camp,Mehndi Artist,No,21,Part time,2,3000,6258-7800-3043,Female,No,Yes,No,No,
627,7344589739,Salisbury Park,Security Guard,No,25,Part time,9,4000,0538-6184-4110,Male,,Yes,Yes,No,
628,9447726222,Kothrud,Cook,Yes,30,Part time,9,2000,4514-6692-2889,Female,Yes,Yes,No,Yes,
629,9338351817,Koregaon Park,Brick mason,Yes,19,Full time,3,5000,1256-2192-5157,Male,,Yes,Yes,Yes,
630,7940924118,Balewadi,Cashier,Yes,29,Part time,7,6500,7144-0988-8307,Female,,Yes,Yes,No,
631,9963755139,Katraj,Janitor,Yes,19,Part time,13,1500,7047-2120-8041,Male,,Yes,No,No,
632,9154436455,Shivajinagar,Painter,No,27,Part time,9,1500,4966-1386-7036,Male,,Yes,No,No,
633,9601172641,Fursungi,Brick mason,No,30,Full time,7,6000,0471-3641-5462,Male,,Yes,Yes,Yes,
634,8991125178,Balewadi,Mechanic,No,21,Part time,14,6000,4121-5605-5337,Male,,Yes,Yes,No,
635,8426316160,Balewadi,Plumber,No,32,Full time,3,1500,6087-5727-6001,Male,,Yes,Yes,Yes,
636,9662954507,Dhankawadi,Delivery Boy,Yes,25,Full time,10,4000,6129-6962-4752,Male,,Yes,Yes,Yes,
637,9054131789,Singhgad Road,Driver,Yes,34,Part time,4,2500,9336-4340-3295,Male,,Yes,Yes,No,
638,9489288099,Parvati,Janitor,Yes,24,Full time,10,2000,2877-1202-0174,Male,,Yes,Yes,Yes,
639,8127084038,Erandwane,Delivery Boy,Yes,39,Part time,7,2500,8186-9993-2058,Male,,Yes,Yes,No,
640,9598022897,Baner,Cook,No,36,Full time,2,4500,8291-6017-9598,Male,Yes,Yes,Yes,Yes,
641,7815770049,Pimplesaudagar,Salesperson,Yes,33,Full time,7,6000,0624-6305-9714,Female,,No,Yes,Yes,
642,8474813663,Khadakwasla,Carpenter,No,20,Part time,9,4000,4913-3119-5053,Male,,Yes,Yes,No,
643,7236525142,Khadakwasla,Cook,Yes,27,Full time,6,2500,3640-6227-2330,Female,Yes,Yes,No,Yes,
644,7226427501,Balewadi,Tailor,Yes,39,Full time,5,5000,0075-0906-0459,Male,Yes,Yes,Yes,Yes,
645,9465746186,Chinchwad,Cashier,Yes,28,Part time,8,4500,6775-1225-5845,Male,,Yes,Yes,No,
646,8930330513,Hinjewadi,Cook,No,27,Full time,14,3000,5443-0842-0497,Female,Yes,Yes,No,No,
647,9235123864,Katraj,Janitor,No,33,Full time,2,1500,4773-9698-7894,Male,,Yes,Yes,Yes,
648,7554771545,Mundhwa,Receptionist,No,34,Part time,2,6000,5835-4478-1566,Female,,Yes,Yes,No,
649,8588917853,Khadki,Accountant,No,24,Part time,2,1500,8817-4732-3720,Female,,Yes,Yes,No,
650,7429074875,Shivajinagar,Receptionist,No,30,Full time,8,5000,1855-9148-8165,Female,,Yes,Yes,No,
651,9850143274,Bibewadi,Receptionist,No,19,Full time,8,3000,0947-6584-9587,Female,,Yes,Yes,No,
652,8144773913,Katraj,Accountant,Yes,21,Part time,8,3500,9870-4961-7000,Female,,No,Yes,Yes,
653,8608478799,Kondhwa,Maid,Yes,30,Full time,8,2000,0109-8910-7796,Female,Yes,Yes,No,Yes,
654,7610840928,Dattawadi,Worker,Yes,29,Part time,11,2000,1299-4732-6094,Male,,Yes,Yes,No,
655,8223895759,Fursungi,Salesperson,Yes,18,Full time,15,4000,0073-3792-2977,Female,,Yes,Yes,No,
656,7515610507,Ganeshkhind,Waiter,Yes,18,Part time,1,2000,6056-1745-1846,Male,,Yes,Yes,No,
657,9909120674,Vishrantwadi,Driver,No,23,Full time,8,3500,4645-3038-0951,Male,,Yes,Yes,Yes,
658,7415617793,Dhole Patil Road,Accountant,Yes,18,Full time,11,4500,6342-0890-7018,Male,,Yes,Yes,Yes,
659,7299975235,Hinjewadi,Tailor,Yes,23,Part time,9,6000,2132-2697-4322,Female,No,No,Yes,Yes,
660,8370877543,Bavdhan,Tailor,No,23,Part time,10,2500,8115-3118-9350,Male,Yes,Yes,Yes,No,
661,9046178852,Balewadi,Brick mason,Yes,36,Part time,8,3500,1370-1350-6032,Male,,Yes,Yes,No,
662,7584114345,Chinchwad,Waitress,Yes,25,Full time,8,2500,7015-0550-3250,Female,,Yes,Yes,No,
663,7249996088,Vitthalwadi,Accountant,No,29,Part time,13,1000,1015-2282-3493,Female,,Yes,Yes,No,
664,8832407992,Erandwane,Cook,No,28,Part time,1,5500,7969-0597-0964,Female,Yes,Yes,No,Yes,
665,7873435207,Bavdhan,Salesperson,Yes,23,Part time,14,6000,5743-6222-5802,Female,,Yes,Yes,No,
666,9292256659,Camp,Maid,No,33,Full time,11,1500,4123-2258-1440,Female,Yes,Yes,No,Yes,
667,9498786371,Balewadi,Salesperson,No,23,Full time,5,6500,6184-8262-8937,Female,,Yes,Yes,No,
668,9126153264,Dhayari,Accountant,No,34,Part time,13,2500,8482-2977-2199,Female,,Yes,Yes,No,
669,9433033017,Aundh,Salesperson,No,28,Part time,13,6500,6719-1855-9537,Male,,Yes,Yes,No,
670,8614766693,Hinjewadi,Carpenter,Yes,32,Part time,12,6500,9467-8722-4721,Male,,Yes,Yes,No,
671,7189532705,Salisbury Park,Cashier,No,26,Part time,12,4000,9139-4374-7142,Female,,Yes,Yes,No,
672,9727938464,Vitthalwadi,Carpenter,No,25,Part time,13,4000,5288-7189-9274,Male,,Yes,Yes,No,
673,7920039629,Kharadi,Mehndi Artist,Yes,31,Part time,3,4000,9628-3785-5458,Female,No,Yes,No,No,
674,7563475474,Fatimanagar,Cook,Yes,22,Full time,11,3500,2370-1392-9914,Female,Yes,Yes,No,No,
675,9181989268,Balewadi,Mehndi Artist,No,21,Full time,10,1000,4571-6155-4957,Female,Yes,Yes,Yes,No,
676,8828418054,Kharadi,Security Guard,Yes,28,Full time,9,3000,4206-8565-8230,Male,,Yes,Yes,Yes,
677,8671009198,Dhayari,Janitor,Yes,25,Full time,14,1000,7850-6482-8057,Male,,Yes,Yes,Yes,
678,7305792939,Vishrantwadi,Maid,No,30,Full time,10,2000,6752-7766-8805,Female,Yes,Yes,No,Yes,
679,7684511609,Dattawadi,Tailor,No,35,Part time,5,3500,0682-4852-0306,Male,Yes,Yes,Yes,No,
680,7168534004,Sahakarnagar,Electrician,Yes,39,Part time,14,6000,1640-9766-0812,Male,,No,Yes,Yes,
681,7204125355,Ganeshkhind,Brick mason,Yes,19,Full time,9,2000,5501-6708-1975,Male,,Yes,Yes,Yes,
682,8581788638,Koregaon Park,Mechanic,Yes,24,Full time,12,6000,3580-2583-3358,Male,,Yes,Yes,Yes,
683,8799035114,Nigdi,Plumber,Yes,26,Part time,10,3500,8115-0425-6107,Male,,Yes,Yes,No,
684,7042713232,Bavdhan,Brick mason,No,24,Full time,8,5500,6030-1100-9234,Male,,Yes,Yes,Yes,
685,8937971906,Fursungi,Cashier,Yes,22,Part time,8,3000,6819-1800-9151,Female,,Yes,Yes,No,
686,8486811488,Ghorpadi,Maid,Yes,35,Part time,14,2500,9058-0528-0379,Female,Yes,Yes,No,Yes,
687,8581324167,Singhgad Road,Accountant,No,31,Full time,9,2500,9405-7612-3009,Female,,Yes,Yes,No,
688,7387184503,Fatimanagar,Cashier,Yes,21,Part time,14,5000,3653-0876-3974,Female,,Yes,Yes,No,
689,9820733991,Baner,Accountant,Yes,27,Full time,3,6500,9126-6925-3365,Male,,Yes,Yes,Yes,
690,9068286694,Dhayari,Cook,No,32,Full time,5,1000,5490-7415-5859,Female,Yes,Yes,No,No,
691,7521756638,Kharadi,Security Guard,Yes,28,Full time,9,1000,0681-2010-1152,Male,,Yes,Yes,Yes,
692,8939308083,Erandwane,Cook,Yes,29,Part time,3,4500,9643-3829-9494,Female,Yes,Yes,No,Yes,
693,9877435203,Gultekdi,Tailor,Yes,23,Part time,12,6000,0175-4396-6058,Female,No,No,Yes,Yes,
694,8004355992,Mundhwa,Maid,No,28,Full time,13,5500,2470-0613-4787,Female,Yes,Yes,No,Yes,
695,9748290030,Ambegaon,Receptionist,Yes,38,Full time,14,1000,0679-0245-7666,Male,,Yes,Yes,Yes,
696,9398176026,Kondhwa,Worker,Yes,21,Part time,6,4000,6447-9989-4498,Male,,Yes,Yes,No,
697,7061453399,Bavdhan,Salesperson,Yes,28,Part time,14,3500,7519-7736-8363,Male,,Yes,Yes,No,
698,9806544513,Pimplesaudagar,Plumber,No,37,Full time,4,5500,0540-4028-3062,Male,,Yes,Yes,Yes,
699,9388547303,Singhgad Road,Receptionist,No,22,Full time,2,4500,1112-5556-8360,Female,,Yes,Yes,No,
700,7216458127,Dhole Patil Road,Accountant,No,36,Part time,14,3500,0187-5624-4404,Male,,No,No,Yes,
701,9680939714,Wanowrie,Brick mason,Yes,21,Full time,14,1000,7998-7637-0017,Male,,Yes,Yes,Yes,
702,8752812842,Singhgad Road,Receptionist,Yes,25,Full time,6,2500,4542-3163-0209,Female,,Yes,Yes,No,
703,8213876718,Bibewadi,Delivery Boy,Yes,31,Full time,14,3500,6498-3465-7145,Male,,Yes,Yes,Yes,
704,8266889958,Dhayari,Worker,Yes,33,Full time,15,4000,2932-8098-7596,Male,,Yes,Yes,Yes,
705,7128496565,Wagholi,Cashier,Yes,21,Full time,5,5000,5752-9155-3219,Female,,Yes,Yes,No,
706,8305769635,Hadapsar,Receptionist,Yes,18,Part time,15,7000,4030-7271-0093,Female,,Yes,Yes,No,
707,8666952433,Chinchwad,Carpenter,No,34,Part time,8,4500,5874-2136-9772,Male,,Yes,Yes,No,
708,9873313134,Wagholi,Maid,Yes,33,Part time,14,5000,0490-5911-1639,Female,Yes,Yes,No,Yes,
709,7897800161,Gultekdi,Delivery Boy,Yes,23,Part time,11,4000,7618-1928-9647,Male,,Yes,Yes,No,
710,8652191241,Shivajinagar,Accountant,No,33,Full time,9,4500,2297-3209-0327,Female,,Yes,Yes,No,
711,9789019773,Aundh,Electrician,No,29,Part time,4,2000,4660-3361-8942,Male,,Yes,Yes,No,
